state,Year,Age,severe,numcase
42,2000,4,Mild,1
42,2000,6,Mild,1
42,2000,11,Mild,2
42,2000,15,Mild,1
42,2000,23,Mild,2
42,2000,24,Mild,2
42,2000,28,Mild,1
42,2000,29,Mild,2
42,2000,30,Mild,1
42,2000,34,Mild,2
42,2000,38,Mild,1
42,2000,39,Mild,1
42,2000,40,Mild,2
42,2000,43,Mild,1
42,2000,44,Mild,2
42,2000,45,Mild,1
42,2000,54,Mild,1
42,2001,15,Mild,1
42,2001,19,Mild,2
42,2001,22,Mild,2
42,2001,25,Mild,4
42,2001,26,Mild,3
42,2001,29,Mild,1
42,2001,30,Mild,1
42,2001,31,Mild,1
42,2001,32,Mild,1
42,2001,33,Mild,1
42,2001,34,Mild,1
42,2001,35,Mild,1
42,2001,36,Mild,3
42,2001,37,Mild,2
42,2001,41,Mild,2
42,2001,42,Mild,3
42,2001,44,Mild,2
42,2001,47,Mild,1
42,2001,49,Mild,1
42,2001,51,Mild,1
42,2001,52,Mild,1
42,2001,54,Mild,1
42,2001,58,Mild,2
42,2001,61,Mild,1
42,2001,68,Mild,1
42,2001,69,Mild,1
42,2002,2,Mild,2
42,2002,5,Mild,2
42,2002,6,Mild,2
42,2002,7,Mild,1
42,2002,8,Mild,2
42,2002,9,Mild,3
42,2002,10,Mild,3
42,2002,11,Mild,1
42,2002,13,Mild,2
42,2002,14,Mild,1
42,2002,16,Mild,1
42,2002,17,Mild,4
42,2002,18,Mild,3
42,2002,19,Mild,5
42,2002,20,Mild,2
42,2002,21,Mild,4
42,2002,22,Mild,7
42,2002,23,Mild,6
42,2002,24,Mild,5
42,2002,25,Mild,6
42,2002,26,Mild,6
42,2002,27,Mild,6
42,2002,28,Mild,6
42,2002,29,Mild,7
42,2002,30,Mild,7
42,2002,31,Mild,2
42,2002,32,Mild,5
42,2002,33,Mild,8
42,2002,34,Mild,10
42,2002,35,Mild,9
42,2002,36,Mild,3
42,2002,37,Mild,2
42,2002,38,Mild,5
42,2002,39,Mild,2
42,2002,40,Mild,7
42,2002,41,Mild,8
42,2002,42,Mild,7
42,2002,43,Mild,5
42,2002,44,Mild,7
42,2002,45,Mild,4
42,2002,46,Mild,7
42,2002,47,Mild,7
42,2002,48,Mild,5
42,2002,49,Mild,3
42,2002,50,Mild,5
42,2002,51,Mild,5
42,2002,52,Mild,2
42,2002,53,Mild,4
42,2002,54,Mild,2
42,2002,55,Mild,1
42,2002,56,Mild,3
42,2002,57,Mild,2
42,2002,58,Mild,5
42,2002,59,Mild,2
42,2002,60,Mild,1
42,2002,61,Mild,1
42,2002,62,Mild,1
42,2002,63,Mild,2
42,2002,65,Mild,3
42,2002,66,Mild,1
42,2002,70,Mild,2
42,2002,75,Mild,1
42,2002,76,Mild,2
42,2003,4,Mild,1
42,2003,7,Mild,1
42,2003,12,Mild,1
42,2003,13,Mild,2
42,2003,16,Mild,2
42,2003,17,Mild,1
42,2003,19,Mild,1
42,2003,20,Mild,1
42,2003,21,Mild,1
42,2003,22,Mild,2
42,2003,24,Mild,2
42,2003,27,Mild,3
42,2003,28,Mild,1
42,2003,29,Mild,1
42,2003,30,Mild,1
42,2003,34,Mild,1
42,2003,36,Mild,2
42,2003,37,Mild,2
42,2003,39,Mild,2
42,2003,40,Mild,2
42,2003,41,Mild,1
42,2003,43,Mild,2
42,2003,46,Mild,1
42,2003,47,Mild,1
42,2003,48,Mild,3
42,2003,49,Mild,2
42,2003,50,Mild,2
42,2003,51,Mild,1
42,2003,56,Mild,2
42,2003,57,Mild,1
42,2003,58,Mild,1
42,2003,61,Mild,1
42,2003,62,Mild,1
42,2003,66,Mild,1
42,2003,68,Mild,1
42,2003,77,Mild,1
42,2004,3,Mild,1
42,2004,26,Mild,1
42,2004,30,Mild,1
42,2004,31,Mild,2
42,2004,32,Mild,2
42,2004,35,Mild,1
42,2004,36,Mild,1
42,2004,37,Mild,1
42,2004,38,Mild,1
42,2004,44,Mild,1
42,2004,46,Mild,1
42,2004,47,Mild,1
42,2005,12,Mild,2
42,2005,14,Mild,1
42,2005,19,Mild,1
42,2005,20,Mild,1
42,2005,21,Mild,1
42,2005,24,Mild,2
42,2005,25,Mild,2
42,2005,26,Mild,2
42,2005,27,Mild,2
42,2005,28,Mild,2
42,2005,29,Mild,1
42,2005,30,Mild,2
42,2005,31,Mild,1
42,2005,35,Mild,1
42,2005,36,Mild,1
42,2005,37,Mild,2
42,2005,38,Mild,1
42,2005,43,Mild,3
42,2005,44,Mild,2
42,2005,45,Mild,1
42,2005,46,Mild,1
42,2005,46,Severe,1
42,2005,47,Mild,1
42,2005,48,Mild,3
42,2005,50,Mild,1
42,2005,51,Mild,1
42,2005,52,Mild,3
42,2005,53,Mild,1
42,2005,56,Mild,1
42,2005,58,Mild,1
42,2005,60,Mild,1
42,2006,9,Mild,1
42,2006,19,Mild,1
42,2006,20,Mild,1
42,2006,22,Mild,2
